      id      |    ?column?    |       replace        
 244196084100 | no_left_turn   | 34.216361,108.938962
 244226417100 | no_left_turn   | 34.339992,108.996580
 244226417100 | no_left_turn   | 34.340002,108.996057
 244226417100 | no_left_turn   | 34.340003,108.995362
 244226417100 | no_left_turn   | 34.340004,108.995783
 244226417100 | no_left_turn   | 34.340006,108.995638
 244226417100 | no_left_turn   | 34.341298,108.995363
 244280407100 | no_left_turn   | 34.171238,108.878593
 244280407100 | no_left_turn   | 34.171470,108.878206
 244280407100 | no_left_turn   | 34.172138,108.878867
 244291039100 | no_left_turn   | 34.241148,108.939158
 244291039100 | no_left_turn   | 34.241151,108.939054
 244291039100 | no_left_turn   | 34.241191,108.939157
 244291039100 | no_left_turn   | 34.241587,108.939153
 244308940100 | no_left_turn   | 34.204581,108.994674
 244308940100 | no_left_turn   | 34.204912,108.994608
 244361128100 | no_left_turn   | 34.281338,108.822390
 244361128100 | no_left_turn   | 34.282017,108.823497
 244361128100 | no_left_turn   | 34.282122,108.823334
 244361128100 | no_left_turn   | 34.282182,108.823401
 244399450100 | no_left_turn   | 34.240652,108.960265
 244399450100 | no_left_turn   | 34.241183,108.960257
 244399450100 | no_left_turn   | 34.241281,108.960254
 244399450100 | no_left_turn   | 34.241381,108.960253
 244456931100 | no_left_turn   | 34.277448,108.971819
 244456931100 | no_left_turn   | 34.277527,108.972884
 244458649100 | no_left_turn   | 34.326799,108.850428
 244458649100 | no_left_turn   | 34.327848,108.849348
 244504714100 | no_left_turn   | 34.154911,108.936115
 244504714100 | no_left_turn   | 34.155051,108.935902
 244556861100 | no_left_turn   | 34.241161,108.946786
 244556861100 | no_left_turn   | 34.241162,108.947021
 244556861100 | no_left_turn   | 34.241227,108.947023
 244556861100 | no_left_turn   | 34.241279,108.947024
 244556861100 | no_left_turn   | 34.241382,108.947136
 244632629100 | no_left_turn   | 34.153781,108.900366
 244632629100 | no_left_turn   | 34.154429,108.900492
 244699856100 | no_left_turn   | 34.281338,108.822390
 244699856100 | no_left_turn   | 34.282023,108.823583
 244699856100 | no_left_turn   | 34.282122,108.823334
 244699856100 | no_left_turn   | 34.282182,108.823401
 244699856100 | no_left_turn   | 34.282217,108.823448
 244723503100 | no_left_turn   | 34.199569,108.833651
 244723503100 | no_left_turn   | 34.199739,108.833883
 244723503100 | no_left_turn   | 34.199842,108.833826
 244723503100 | no_left_turn   | 34.199988,108.833768
 244723503100 | no_left_turn   | 34.200138,108.833742
 244872254100 | no_left_turn   | 34.244571,108.985401
 244872254100 | no_left_turn   | 34.245520,108.986280
 244894817100 | no_left_turn   | 34.211642,108.888060
 244894817100 | no_left_turn   | 34.211804,108.888057
 244994334100 | no_left_turn   | 34.202692,108.815404
 244994334100 | no_left_turn   | 34.202776,108.815212
 245006570100 | no_left_turn   | 34.325384,108.850529
 245006570100 | no_left_turn   | 34.326799,108.850428
 245043295100 | no_left_turn   | 34.261223,108.825367
 245043295100 | no_left_turn   | 34.261224,108.825447
 245043295100 | no_left_turn   | 34.261224,108.825539
 245043295100 | no_left_turn   | 34.261224,108.825624
 245083529100 | no_left_turn   | 34.244627,108.917411
 245083529100 | no_left_turn   | 34.244630,108.918110
 245143320100 | no_left_turn   | 34.340086,108.965462
 245143320100 | no_left_turn   | 34.340093,108.965593
 245147447100 | no_left_turn   | 34.273421,108.920674
 245147447100 | no_left_turn   | 34.273532,108.920741
 245171280100 | no_left_turn   | 34.292674,108.956697
 245171280100 | no_left_turn   | 34.292746,108.957770
 245190012100 | no_left_turn   | 34.341713,108.885437
 245190012100 | no_left_turn   | 34.342281,108.887482
 245201402100 | no_left_turn   | 34.266284,108.938958
 245201402100 | no_left_turn   | 34.266896,108.939882
 245223143100 | no_left_turn   | 34.259413,108.952212
 245223143100 | no_left_turn   | 34.259417,108.954163
 245223143100 | no_left_turn   | 34.259505,108.954167
 245223143100 | no_left_turn   | 34.259568,108.954169
 245223143100 | no_left_turn   | 34.259629,108.954099
 245223143100 | no_left_turn   | 34.259630,108.954170
 245224901100 | no_left_turn   | 34.280303,108.959535
 245224901100 | no_left_turn   | 34.280495,108.959107
 245393002100 | no_left_turn   | 34.241039,108.945669
 245393002100 | no_left_turn   | 34.241051,108.946784
 245393002100 | no_left_turn   | 34.241162,108.947021
 245393002100 | no_left_turn   | 34.241227,108.947023
 245393002100 | no_left_turn   | 34.241279,108.947024
 245393002100 | no_left_turn   | 34.241906,108.947016
 245393358100 | no_left_turn   | 34.236139,108.979342
 245393358100 | no_left_turn   | 34.236143,108.979410
 245465225100 | no_left_turn   | 34.216485,108.988354
 245465225100 | no_left_turn   | 34.217520,108.987815
 245475481100 | no_left_turn   | 34.263727,109.068971
 245475481100 | no_left_turn   | 34.263769,109.069920
 245477219100 | no_left_turn   | 34.310324,108.997091
 245477219100 | no_left_turn   | 34.310388,108.997059
 245661489100 | no_left_turn   | 34.241114,108.953870
 245661489100 | no_left_turn   | 34.241179,108.953901
 245661489100 | no_left_turn   | 34.241182,108.953850
 245661489100 | no_left_turn   | 34.241253,108.953922
 245661489100 | no_left_turn   | 34.242780,108.953936
 245697050100 | no_left_turn   | 34.241114,108.953870
