   id   | ?column? |        ?column?        
 610000 | L2       | 陕西省
 610100 | L3       | 西安市
 610200 | L3       | 铜川市
 610300 | L3       | 宝鸡市
 610400 | L3       | 咸阳市
 610500 | L3       | 渭南市
 610600 | L3       | 延安市
 610700 | L3       | 汉中市
 610800 | L3       | 榆林市
 610900 | L3       | 安康市
 611000 | L3       | 商洛市
 620000 | L2       | 甘肃省
 620100 | L3       | 兰州市
 620200 | L3       | 嘉峪关市
 620300 | L3       | 金昌市
 620400 | L3       | 白银市
 620500 | L3       | 天水市
 620600 | L3       | 武威市
 620700 | L3       | 张掖市
 620800 | L3       | 平凉市
 620900 | L3       | 酒泉市
 621000 | L3       | 庆阳市
 621100 | L3       | 定西市
 621200 | L3       | 陇南市
 622900 | L3       | 临夏回族自治州
 623000 | L3       | 甘南藏族自治州
 630000 | L2       | 青海省
 630100 | L3       | 西宁市
 630200 | L3       | 海东市
 632200 | L3       | 海北藏族自治州
 632300 | L3       | 黄南藏族自治州
 632500 | L3       | 海南藏族自治州
 632600 | L3       | 果洛藏族自治州
 632700 | L3       | 玉树藏族自治州
 632800 | L3       | 海西蒙古族藏族自治州
 640000 | L2       | 宁夏回族自治区
 640100 | L3       | 银川市
 640200 | L3       | 石嘴山市
 640300 | L3       | 吴忠市
 640400 | L3       | 固原市
 640500 | L3       | 中卫市
 650000 | L2       | 新疆维吾尔自治区
 650100 | L3       | 乌鲁木齐市
 650200 | L3       | 克拉玛依市
 650400 | L3       | 吐鲁番市
 650500 | L3       | 哈密市
 652300 | L3       | 昌吉回族自治州
 652700 | L3       | 博尔塔拉蒙古自治州
 652800 | L3       | 巴音郭楞蒙古自治州
 652900 | L3       | 阿克苏地区
 653000 | L3       | 克孜勒苏柯尔克孜自治州
 653100 | L3       | 喀什地区
 653200 | L3       | 和田地区
 654000 | L3       | 伊犁哈萨克自治州
 654200 | L3       | 塔城地区
 654300 | L3       | 阿勒泰地区
 659001 | L3       | 石河子市
 659002 | L3       | 阿拉尔市
 659003 | L3       | 图木舒克市
 659004 | L3       | 五家渠市
 659005 | L3       | 北屯市
 659006 | L3       | 铁门关市
 659007 | L3       | 双河市
 659008 | L3       | 可克达拉市
 659009 | L3       | 昆玉市
 710000 | L2       | 台湾省
 719900 | L3       | 台湾省
 810000 | L2       | 香港特别行政区
 819900 | L3       | 香港特别行政区
 820000 | L2       | 澳门特别行政区
 829900 | L3       | 澳门特别行政区
(405 rows)

