select road_id, toll_flag, name_chn,alias_chn,ad_code,route_no,link_type from roadsegment where alias_chn like '%乌奎高速%';
--------------+-----------+--------------------+------------------------------------+---------+------------------+-----------
 630772742993 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630860823377 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630865017681 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630917446481 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 659001  | Ｇ３０｜Ｇ３１２ |         3
 630918495057 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 652324  | Ｇ３０｜Ｇ３１２ |         3
 630919543633 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 659001  | Ｇ３０｜Ｇ３１２ |         3
 630920592209 |         1 | Ｇ３０连霍高速     | 玛纳斯河大桥｜３１２国道｜乌奎高速 | 652324  | Ｇ３０｜Ｇ３１２ |         3
 637683907409 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630232726417 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
 630528424849 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 659001  | Ｇ３０｜Ｇ３１２ |         0
      3947272 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
      4995848 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
     11287304 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
     12335880 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
     31210248 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2853976840 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2855025416 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2856073992 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2857122568 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2858171144 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2860268296 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
   2861316872 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629442099976 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629443148552 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629444197128 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629445245704 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    164379398 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
    166476550 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
    428620550 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
    429669126 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
    431766278 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
    432814854 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
    443300614 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
    448543494 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
 629791275782 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
 629801761542 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654202  | Ｇ３０｜Ｇ３１２ |         0
     11287305 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    141310729 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    143407881 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    144456457 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    145505033 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    146553609 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    147602185 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
    148650761 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654003  | Ｇ３０｜Ｇ３１２ |         0
 629417982729 |         1 | Ｇ３０连霍高速出口 | ３１２国道｜乌奎高速出口           | 654003  | Ｇ３１２         |         0
